City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
247,Mitchell,US,43.7094,-98.0298,82.81,51,6,16.06,clear sky
248,Dinajpur,BD,25.6272,88.6386,88.72,57,6,5.53,clear sky
249,Shawnee,US,39.05,-95.7669,74.34,82,35,9.62,scattered clouds
250,Seversk,RU,56.6006,84.8864,49.15,68,68,12.82,broken clouds
251,Newport,GB,51.5877,-2.9984,53.69,83,0,5.44,clear sky
252,Saint-Francois,FR,46.4154,3.9054,60.19,96,100,2.3,overcast clouds
253,Tasiilaq,GL,65.6145,-37.6368,39.0,95,100,2.8,light rain
254,Necochea,AR,-38.5473,-58.7368,54.88,82,100,3.2,overcast clouds
255,Isla Vista,US,34.4133,-119.861,82.76,62,1,6.13,clear sky
256,Loa Janan,ID,-0.583,117.095,83.59,76,35,2.19,scattered clouds
257,Bathsheba,BB,13.2167,-59.5167,81.21,65,40,20.71,scattered clouds
258,Klaksvik,FO,62.2266,-6.589,50.92,96,89,17.72,overcast clouds
259,Chapais,CA,49.7834,-74.8492,64.18,46,100,2.08,overcast clouds
260,Vestmanna,FO,62.1564,-7.1664,49.12,100,90,14.56,overcast clouds
261,Mbanza-Ngungu,CD,-5.25,14.8667,66.74,94,7,3.89,clear sky
262,Leua,SK,48.2156,18.6071,58.1,87,13,2.82,few clouds
263,Ozernovskiy,RU,51.5,156.5167,47.21,79,100,21.61,overcast clouds
264,Conde,BR,-7.2597,-34.9075,74.66,88,20,7.25,few clouds
265,Dingle,PH,10.9995,122.6711,83.34,82,93,6.46,overcast clouds
266,Avera,US,33.194,-82.5271,85.87,88,100,7.38,overcast clouds
267,Padang,ID,-0.9492,100.3543,75.25,85,100,2.75,overcast clouds
268,Nikolskoye,RU,59.7035,30.7861,50.4,77,0,1.34,clear sky
269,Rawson,AR,-43.3002,-65.1023,49.28,52,0,15.21,clear sky
270,Trairi,BR,-3.2778,-39.2689,77.27,83,0,7.87,clear sky
271,Iquique,CL,-20.2208,-70.1431,64.44,82,70,1.77,broken clouds
272,Zhigansk,RU,66.7697,123.3711,42.13,87,100,14.85,light rain
273,Ranfurly,NZ,-45.1333,170.1,47.64,61,100,10.33,overcast clouds
274,Darasun,RU,51.6667,114.0,59.54,35,2,1.97,clear sky
275,Zaraza,VE,9.3503,-65.3245,75.27,92,100,6.06,overcast clouds
276,Hobyo,SO,5.3505,48.5268,77.95,83,0,17.81,clear sky
277,Dakar,SN,14.6937,-17.4441,76.08,83,10,6.91,clear sky
278,Waipawa,NZ,-41.4122,175.5153,56.44,55,64,9.48,broken clouds
279,Port Blair,IN,11.6667,92.75,80.64,89,75,0.0,broken clouds
280,Talcahuano,CL,-36.7167,-73.1167,51.48,87,0,5.75,clear sky
281,Mwinilunga,ZM,-11.7358,24.4293,54.23,57,6,6.87,clear sky
282,Saiha,IN,22.4833,92.9667,74.48,92,53,0.49,broken clouds
283,Canaries,ES,28.0,-15.5,60.39,63,75,11.61,broken clouds
284,Langsa,ID,4.4683,97.9683,74.3,97,100,2.46,overcast clouds
285,Beringovskiy,RU,63.05,179.3167,38.97,84,24,2.82,few clouds
286,Caldwell,US,43.6629,-116.6874,96.21,24,1,5.75,clear sky
287,Sumkino,RU,58.1108,68.3244,49.57,57,2,7.56,clear sky
288,Santa Cruz Cabralia,BR,-16.2781,-39.0247,77.23,78,40,9.24,scattered clouds
289,Zerbst,DE,51.9667,12.0833,65.39,83,97,5.66,overcast clouds
290,Flinders,AU,-34.5833,150.8552,58.37,56,0,1.99,clear sky
291,Kudus,ID,-6.8048,110.8405,83.98,77,0,5.64,clear sky
292,Myitkyina,MM,25.3833,97.4,77.65,90,24,0.43,few clouds
293,Natal,BR,-5.795,-35.2094,77.22,78,20,8.23,few clouds
294,Moron,AR,-34.6534,-58.6198,63.01,90,75,4.61,broken clouds
295,San Rafael,AR,-34.6177,-68.3301,55.4,58,48,8.34,scattered clouds
296,Grand-Lahou,CI,5.1367,-5.0242,78.84,88,100,7.76,overcast clouds
297,Esso,RU,55.9333,158.7,50.36,72,100,9.04,overcast clouds
298,Talnakh,RU,69.4865,88.3972,31.17,97,100,9.22,light snow
299,Bardstown,US,37.8092,-85.4669,79.74,72,1,0.0,clear sky
300,Campos,BR,-21.75,-41.3,68.56,94,0,2.73,clear sky
301,Sechura,PE,-5.5569,-80.8222,69.37,72,24,15.35,few clouds
302,Beyneu,KZ,45.3167,55.2,75.67,33,96,16.33,overcast clouds
303,Mecca,SA,21.4267,39.8261,81.14,75,0,3.85,clear sky
304,Carutapera,BR,-1.195,-46.02,77.09,88,5,7.07,clear sky
305,San Vicente,AR,-26.6167,-54.1333,67.06,68,0,5.03,clear sky
306,Huai Thalaeng,TH,14.997,102.6475,88.27,64,100,12.03,overcast clouds
307,Vila,PT,42.0304,-8.1588,49.75,80,2,5.01,clear sky
308,Nortelandia,BR,-14.4547,-56.8028,73.92,49,24,3.94,few clouds
309,Jequie,BR,-13.8575,-40.0836,69.21,98,83,3.71,broken clouds
310,Mehamn,NO,71.0357,27.8492,44.19,93,100,18.39,overcast clouds
311,Broken Hill,AU,-31.95,141.4333,53.31,66,0,5.75,clear sky
312,Vigrestad,NO,58.5667,5.7,55.96,83,100,6.04,overcast clouds
313,Manokwari,ID,-0.8667,134.0833,81.68,74,100,5.12,overcast clouds
314,Komsomolskiy,UZ,40.4272,71.7189,76.42,37,0,6.91,clear sky
315,Pingliang,CN,35.5392,106.6861,78.03,23,0,8.86,clear sky
316,Redlands,US,34.0556,-117.1825,97.56,36,0,1.01,clear sky
317,La Ronge,CA,55.1001,-105.2842,77.25,29,40,8.05,scattered clouds
318,Okulovka,RU,58.4008,33.2908,50.16,75,98,3.33,overcast clouds
319,Hirara,JP,24.8,125.2833,84.47,84,75,24.16,moderate rain
320,Chuy,UY,-33.6971,-53.4616,62.15,97,94,8.66,moderate rain
321,Oneonta,US,42.4529,-75.0638,67.28,83,0,1.92,clear sky
322,Matara,LK,5.9485,80.5353,78.12,89,100,10.74,light rain
323,Coquimbo,CL,-29.9533,-71.3436,56.93,94,90,2.1,overcast clouds
324,Shimoda,JP,34.6667,138.95,76.15,58,8,8.55,clear sky
325,Bandarbeyla,SO,9.4942,50.8122,79.0,78,93,19.48,overcast clouds
326,Nome,US,64.5011,-165.4064,36.16,69,75,9.22,broken clouds
327,Hofn,IS,64.2539,-15.2082,47.05,99,100,4.27,overcast clouds
328,Bereda,ES,43.2686,-7.5406,47.95,100,25,2.71,scattered clouds
329,Puerto Madryn,AR,-42.7692,-65.0385,49.89,52,0,12.97,clear sky
330,Bridgetown,BB,13.1,-59.6167,81.09,65,40,21.56,scattered clouds
331,Sangmelima,CM,2.9333,11.9833,67.48,99,100,2.04,light rain
332,Coihueco,CL,-36.6167,-71.8333,50.74,100,40,3.0,scattered clouds
333,Ziro,IN,27.6333,93.8333,59.83,94,68,0.89,broken clouds
334,Port Macquarie,AU,-31.4333,152.9167,62.89,60,16,12.66,few clouds
335,Ravar,IR,31.2656,56.8055,81.82,11,0,1.66,clear sky
336,Imeni Poliny Osipenko,RU,52.4201,136.4853,41.67,91,100,21.83,light rain
337,Novopokrovka,UA,49.8425,36.5477,55.78,85,100,7.11,overcast clouds
338,Nabire,ID,-3.3667,135.4833,83.46,70,100,3.58,overcast clouds
339,Sena Madureira,BR,-9.0656,-68.6569,73.04,74,39,0.18,scattered clouds
340,Yaan,NG,7.3833,8.5667,73.56,97,100,6.62,overcast clouds
341,Rundu,NA,-17.9333,19.7667,45.66,50,0,6.91,clear sky
342,Dzilam Gonzalez,MX,21.2833,-88.9333,83.86,60,96,6.33,overcast clouds
343,Labuan,MY,5.2767,115.2417,84.56,89,40,2.3,scattered clouds
344,Kalmunai,LK,7.4167,81.8167,78.31,85,100,4.07,overcast clouds
345,Jennings,US,38.7192,-90.2604,82.22,45,6,1.01,clear sky
346,Bialogard,PL,54.007,15.9875,59.76,90,67,6.02,broken clouds
347,Eureka,US,40.8021,-124.1637,64.2,74,12,3.0,few clouds
