City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
523,Choa Saidan Shah,PK,81.16,scattered clouds,32.7201,72.9849,Office RFO RM
524,Ixtapa,MX,82.22,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
526,Del Rio,US,81.43,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
528,Nhulunbuy,AU,81.21,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
533,Alofi,NU,78.69,light rain,-19.0595,-169.9187,Taloa Heights
534,Spring Hill,US,79.83,overcast clouds,28.4769,-82.5255,Room of The world By traveline Plus
535,Kavieng,PG,84.61,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
536,Jamshedpur,IN,80.42,haze,22.8,86.1833,Madhuban Motel
537,Hambantota,LK,77.34,light rain,6.1241,81.1185,Bungalow 63
553,Badarwas,IN,85.48,overcast clouds,24.9667,77.5667,योगराज मोटर्स
554,Shache,CN,76.98,clear sky,38.4167,77.2406,Delong Hotel
558,Emilio Carranza,MX,77.63,overcast clouds,19.9711,-96.6114,casa carranza
562,Big Spring,US,79.29,scattered clouds,32.2504,-101.4787,Hampton Inn & Suites Big Spring
563,Merida,MX,85.01,overcast clouds,20.9667,-89.6167,Hotel Nacional Mérida
564,Male,MV,84.15,broken clouds,4.1748,73.5089,Hotel Octave Maldives
566,Ca Mau,VN,87.3,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
568,Lumphat,KH,81.63,very heavy rain,13.4878,106.9816,Lumphat Homestay
572,Maragogi,BR,75.63,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
573,Kathu,TH,85.62,moderate rain,7.9178,98.3332,Novotel Phuket Resort
580,Bima,ID,84.63,few clouds,-8.4667,118.7167,Lambitu Hotel
583,Port-Gentil,GA,79.05,overcast clouds,-0.7193,8.7815,Fengshui Residence
585,Pocatello,US,86.47,overcast clouds,42.8713,-112.4455,Clarion Inn Pocatello
587,Nazas,MX,86.4,scattered clouds,25.2333,-104.1333,Hotel Río Nazas
590,Bom Jesus,BR,75.63,clear sky,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
591,Labuhan,ID,81.97,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
592,Cimarron Hills,US,80.98,clear sky,38.8586,-104.6989,"Holiday Inn Express & Suites Colorado Springs-First & Main, an IHG Hotel"
596,Zhangye,CN,79.36,scattered clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
598,Champerico,GT,85.77,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
599,Winslow,US,84.96,overcast clouds,35.0242,-110.6974,Best Western Plus Winslow Inn
609,Phan Thiet,VN,86.31,broken clouds,10.9333,108.1,Hotel Saigon-PT
613,Mayo,US,76.39,clear sky,38.8876,-76.5119,Resorts Resource Group International
622,Itarema,BR,78.35,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
623,Akdepe,TM,80.69,overcast clouds,42.0551,59.3788,Мой дом
625,Calkini,MX,86.09,overcast clouds,20.3667,-90.05,Hotel Brenda Maria
628,Portland,US,79.61,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
633,Clarin,PH,82.47,overcast clouds,8.2023,123.8582,Sheila marie fernandez sabella
634,Russell,US,76.71,few clouds,32.3502,-85.1999,Macs
636,Tubmanburg,LR,75.29,overcast clouds,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
638,Bosaso,SO,87.93,clear sky,11.2842,49.1816,Red Sea Hotel
640,Edmond,US,82.6,overcast clouds,35.6528,-97.4781,Hampton Inn Oklahoma City/Edmond
642,Tipitapa,NI,86.02,few clouds,12.1973,-86.0971,Hotel Entre Rios
644,Pokhara,NP,76.37,broken clouds,28.2333,83.9833,Butterfly Lodge
649,Esterhazy,CA,83.25,clear sky,50.65,-102.0843,Canalta Hotel Esterhazy
655,Kankan,GN,76.42,clear sky,10.3854,-9.3057,Hotel Bate
656,Pochutla,MX,79.09,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
659,Ojinaga,MX,88.75,scattered clouds,29.5667,-104.4167,Suites Las Palmas
666,Alpena,US,78.94,clear sky,45.0617,-83.4327,Days Inn by Wyndham Alpena
669,Jacareacanga,BR,77.59,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
672,Bossier City,US,75.15,clear sky,32.516,-93.7321,Horseshoe Bossier City
674,Jiexiu,CN,78.8,clear sky,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
677,Batagay,RU,81.32,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
678,Ambon,ID,78.94,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
682,Pinar Del Rio,CU,78.03,broken clouds,22.4175,-83.6981,Hostal La Colina Dunay y Raul
684,Sola,VU,83.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
