City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
207,Jibuti,11.5,42.5,80.08,66,67,10.38,DJ,2021-06-03 23:00:33
208,Banjarmasin,-3.3244,114.591,75.34,93,97,1.45,ID,2021-06-03 23:00:33
209,Siyabuswa,-25.1132,29.0445,51.55,61,71,9.13,ZA,2021-06-03 23:00:33
210,Rawson,-43.3002,-65.1023,48.18,88,98,9.69,AR,2021-06-03 23:00:34
211,Saint-Georges,12.0564,-61.7485,79.83,76,99,13.31,GD,2021-06-03 23:00:34
212,Xichang,27.8964,102.2634,55.8,84,100,1.81,CN,2021-06-03 23:00:34
213,Guanhaes,-18.775,-42.9325,63.75,82,60,4.18,BR,2021-06-03 23:00:35
214,Kavieng,-2.5744,150.7967,83.48,72,92,3.78,PG,2021-06-03 23:00:35
215,Lanzhou,36.0564,103.7922,62.91,23,26,0.98,CN,2021-06-03 23:00:35
216,Sangamner,19.5667,74.2167,81.12,68,74,3.87,IN,2021-06-03 23:00:36
217,Corum,40.5,34.75,44.38,77,12,3.69,TR,2021-06-03 23:00:36
218,Rio Grande,-32.035,-52.0986,53.94,77,2,9.84,BR,2021-06-03 23:00:36
219,Sarrebourg,48.7333,7.05,67.57,90,91,3.38,FR,2021-06-03 22:59:25
220,Port Hardy,50.6996,-127.4199,53.91,77,80,10.49,CA,2021-06-03 23:00:36
221,Pringsewu,-5.3582,104.9744,74.26,98,88,0.87,ID,2021-06-03 23:00:37
222,Jacareacanga,-6.2222,-57.7528,79.9,66,60,2.44,BR,2021-06-03 23:00:37
223,Kaeo,-35.1,173.7833,60.33,79,36,2.15,NZ,2021-06-03 23:00:37
224,Qui Nhon,13.7667,109.2333,83.21,73,60,5.48,VN,2021-06-03 22:56:52
225,Luena,-11.7833,19.9167,53.62,60,7,4.16,AO,2021-06-03 23:00:38
226,Camargo,27.6667,-105.1667,78.22,32,57,30.74,MX,2021-06-03 23:00:38
227,Chimbote,-9.0853,-78.5783,65.95,81,11,8.75,PE,2021-06-03 23:00:18
